time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
0.8010,0.233931,0.368111,0.159100,-0.393262,0.110711,-0.556920,-0.768668,0.208269,0.030128,-0.359315,-0.261153,0.161395,-0.821771,-0.183284,0.471702,0.027378,0.601091,-0.548697
0.8344,0.201912,0.366696,0.154283,-0.389203,0.114016,-0.558067,-0.755069,0.237237,0.044656,-0.338057,-0.265016,0.145811,-0.818913,-0.219134,0.470155,0.029675,0.673486,-0.517022
0.8678,0.182191,0.320624,0.118492,-0.363311,0.144660,-0.555185,-0.643010,0.286393,-0.007891,-0.262944,-0.253457,0.115571,-0.777983,-0.283208,0.412240,0.034228,0.831396,-0.443753
0.9011,0.147115,0.270121,0.049978,-0.333177,0.151245,-0.566333,-0.520172,0.355158,-0.100349,-0.175581,-0.267495,0.092174,-0.710938,-0.341080,0.312271,-0.042224,1.099985,-0.347113
0.9345,0.089961,0.230898,-0.023151,-0.321130,0.153724,-0.571827,-0.440589,0.419127,-0.183813,-0.107615,-0.287106,0.076270,-0.645213,-0.331483,0.212717,-0.192091,1.384701,-0.278664
0.9679,0.009181,0.213097,-0.079549,-0.339017,0.145480,-0.577159,-0.394625,0.404422,-0.219308,-0.082147,-0.295252,0.070243,-0.589572,-0.277505,0.145676,-0.391029,1.622169,-0.280103
1.0013,-0.079645,0.209024,-0.139588,-0.370863,0.132251,-0.556555,-0.339954,0.343159,-0.225562,-0.047626,-0.298539,0.062303,-0.560483,-0.228296,0.107323,-0.566328,1.770909,-0.284211
1.0346,-0.179120,0.196863,-0.229969,-0.390795,0.108027,-0.538740,-0.266328,0.274618,-0.224888,0.002805,-0.310027,0.048266,-0.542980,-0.215011,0.074161,-0.708173,1.852829,-0.276782
1.0680,-0.275827,0.179025,-0.334829,-0.406434,0.095695,-0.529248,-0.205856,0.258390,-0.236675,0.063499,-0.316987,0.033627,-0.538003,-0.194498,0.036747,-0.817097,1.872009,-0.265391
1.1014,-0.361447,0.162679,-0.406781,-0.427339,0.098679,-0.513186,-0.174117,0.304539,-0.276474,0.122654,-0.311935,0.003108,-0.534190,-0.154796,-0.000081,-0.896594,1.826852,-0.263741
1.1348,-0.436339,0.148351,-0.462085,-0.449982,0.110936,-0.484934,-0.156729,0.373973,-0.325688,0.176526,-0.297813,-0.025531,-0.530688,-0.100094,-0.045266,-0.943977,1.731164,-0.265215
