time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
0.8010,0.105013,0.330531,-0.185852,-1.800000,0.098344,0.159408,-0.937062,1.143880,-0.375101,-0.308052,-0.816922,0.089647,-1.725955,-0.596844,0.390328,-0.504913,1.117282,-0.473097
0.8344,0.030815,0.317289,-0.211753,-1.800000,0.172565,0.117202,-0.953706,1.160344,-0.401974,-0.250095,-0.700363,0.154994,-1.754223,-0.518255,0.391223,-0.569390,1.136475,-0.469983
0.8678,-0.038399,0.305055,-0.244109,-1.800000,0.239078,0.053065,-0.944616,1.152946,-0.421114,-0.196778,-0.585519,0.234926,-1.741495,-0.429023,0.366322,-0.667180,1.153344,-0.444258
0.9011,-0.097436,0.287937,-0.280842,-1.800000,0.299472,-0.012327,-0.899915,1.143128,-0.447399,-0.130102,-0.498271,0.304701,-1.717635,-0.349546,0.307800,-0.739051,1.149734,-0.420450
0.9345,-0.156999,0.297731,-0.308038,-1.800000,0.376137,-0.098032,-0.837715,1.126771,-0.470370,-0.071348,-0.441192,0.337491,-1.703509,-0.257633,0.232494,-0.815819,1.135057,-0.369738
0.9679,-0.223824,0.330261,-0.352648,-1.800000,0.448355,-0.193072,-0.731085,1.088932,-0.491618,0.005682,-0.408462,0.349661,-1.698386,-0.192418,0.140417,-0.860853,1.111387,-0.326529
1.0013,-0.301112,0.403087,-0.408976,-1.800000,0.525263,-0.299939,-0.566788,1.003431,-0.507981,0.077075,-0.389401,0.363448,-1.691669,-0.139030,0.034857,-0.889026,1.076121,-0.275497
1.0346,-0.391493,0.557188,-0.424589,-1.800000,0.614350,-0.412063,-0.329872,0.841808,-0.499273,0.139784,-0.402925,0.346135,-1.703859,-0.091173,-0.083601,-0.888834,1.016101,-0.219183
1.0680,-0.465072,0.838094,-0.393076,-1.800000,0.717023,-0.534026,-0.065929,0.629065,-0.456628,0.190371,-0.428191,0.307890,-1.744688,-0.047695,-0.196846,-0.892448,0.938572,-0.157863
1.1014,-0.395667,1.262502,-0.272064,-1.800000,0.849955,-0.633429,0.162432,0.445525,-0.402406,0.234047,-0.444457,0.256245,-1.800000,0.016558,-0.283126,-0.913279,0.868204,-0.091109
1.1348,-0.133444,1.679426,-0.085288,-1.567064,1.000000,-0.647972,0.338023,0.336272,-0.365132,0.294240,-0.411292,0.228543,-1.800000,0.113400,-0.312855,-0.877135,0.831878,-0.063045
1.1682,0.014221,1.911376,0.055353,-1.131302,1.000000,-0.650000,0.351302,0.298451,-0.329247,0.397619,-0.348942,0.131953,-1.800000,0.127138,-0.288299,-0.878876,0.831862,-0.047117
1.2015,0.096272,2.043594,0.160274,-0.857147,1.000000,-0.650000,0.336514,0.313527,-0.320045,0.494078,-0.300541,0.032880,-1.800000,0.134393,-0.278493,-0.902670,0.849522,-0.046355
1.2349,0.061620,2.027518,0.283007,-0.822217,1.000000,-0.650000,0.317404,0.355721,-0.330156,0.573481,-0.253568,-0.040076,-1.800000,0.142015,-0.283568,-0.937504,0.868798,-0.052246
1.2683,0.064460,2.016685,0.343802,-0.860153,1.000000,-0.645077,0.299018,0.409064,-0.349577,0.651389,-0.189162,-0.105938,-1.800000,0.148922,-0.299364,-0.968089,0.887571,-0.064795
1.3017,0.104300,1.986374,0.365587,-0.928939,1.000000,-0.626936,0.278245,0.463139,-0.381587,0.686743,-0.140193,-0.152712,-1.800000,0.158048,-0.313831,-0.984655,0.914300,-0.078949
1.3350,0.125047,1.878472,0.403687,-1.050807,1.000000,-0.587086,0.252530,0.526175,-0.419985,0.678097,-0.117477,-0.166089,-1.800000,0.168532,-0.305686,-0.972959,0.948685,-0.100446
1.3684,0.123962,1.724666,0.400490,-1.213847,1.000000,-0.563675,0.239542,0.566440,-0.451550,0.615233,-0.139618,-0.135031,-1.800000,0.168268,-0.302796,-0.951450,0.956941,-0.120461
1.4018,0.101726,1.581477,0.355268,-1.348103,1.000000,-0.557751,0.223795,0.594309,-0.471464,0.525425,-0.183246,-0.094242,-1.800000,0.163053,-0.299618,-0.943745,0.956307,-0.124562
1.4352,0.083475,1.451003,0.287298,-1.466361,1.000000,-0.550749,0.197287,0.635263,-0.490347,0.431357,-0.229808,-0.038841,-1.800000,0.158638,-0.291730,-0.938938,0.958715,-0.127198
1.4685,0.086843,1.336643,0.229837,-1.568389,1.000000,-0.536430,0.162551,0.690929,-0.513429,0.342191,-0.272971,0.011907,-1.800000,0.152016,-0.279514,-0.929181,0.967421,-0.138516
1.5019,0.108733,1.225459,0.194053,-1.655410,1.000000,-0.505372,0.118619,0.760564,-0.544785,0.245555,-0.303140,0.079856,-1.800000,0.152600,-0.259889,-0.912539,0.984634,-0.156005
1.5353,0.154428,1.119082,0.167962,-1.736799,1.000000,-0.466694,0.064581,0.841156,-0.581068,0.134661,-0.317134,0.153591,-1.800000,0.154534,-0.239758,-0.888822,0.995483,-0.173283
